Product Name,MRP,Price,Star Ratings,No. of Ratings,Sales,Brand,Monthly Sales Estimate,Predicted Monthly Sales
"AEROHAVEN Set Of 5 Decorative Hand Made Velvet Throw/Pillow Cushion Covers - Cc-38 (Multicolor, 16 Inch X 16 Inch)",999.0,356.0,4.3,3321.0,,AEROHAVEN,0,135.2698034191331
"STITCHNEST Beige Geometrical Ikat Ethnic Printed Poly Cotton Cushion Covers, Beige Set of 5 (16 x 16 Inches)",999.0,469.0,4.3,201.0,100+ bought in past month,STITCHNEST,100,22.193512536278845
"AEROHAVEN Jute 180TC Cushion Covers, 16x16 inches, Multicolour, Set of 5 Pieces",999.0,275.0,4.0,778.0,,AEROHAVEN,0,55.49880265326666
"Amazon Brand - Umi Satin 250TC Cushion Pillow Covers, Multicolor, Set of 5 (16X16 Inches, Owl & Elephants)",1999.0,499.0,4.3,743.0,400+ bought in past month,Amazon,400,60.21872665981517
AEROHAVEN Set of 5 Multi Colored Decorative Hand Made Jute Cushion Covers - CC14 - (12 Inch x 12 Inch),799.0,263.0,4.2,2926.0,50+ bought in past month,AEROHAVEN,50,125.16500203039229
"Awani Trends Cushion Cover|Sofa Cushion Cover|Sofa, Living Room, Office Diwali Decoration|Flower Printed Sparkle Velvet Sofa Cushion Cover (16X16 Inch, Pack Of 5) - Cream Color - 100 Tc",999.0,599.0,4.0,187.0,,Awani,0,5.434907657104851
"Vendola Vivid Decorative Printed Satin Cushion/Throw/Pillow Covers (Multicolour) Set of 5 Pieces (16X16 Inches, Raja Rani), Solid, 250 threads",1999.0,459.0,4.3,250.0,50+ bought in past month,Vendola,50,47.82800622546511
"BLOCKS OF INDIA Hand Block Printed Cotton Cushion Cover (16 X 16 Inches) (5, Peach Paisley), 250 TC",1999.0,699.0,4.2,709.0,100+ bought in past month,BLOCKS,100,38.83941262454659
"Amazon Brand Umi Unique Cute Elephant Cartoon Blue Printed Jute Cushion Covers, Set Of 5 (16 X 16 Inches), 200 TC",2499.0,429.0,4.3,1188.0,,Amazon,0,92.9873250570914
"Brizberry® Designer Blue Peacock Ethnic Decorative Premium Poly Cotton Throw Pillow Cushion Covers, Double Both, Set of 5 (16 inch x 16 inch) (Design 42)",1199.0,599.0,4.2,31.0,,Brizberry®,0,7.593930750374383
"CIDIZY Beige Cream Velvet Cushion Covers, 16x16 Inch, Set of 5",1399.0,399.0,3.9,691.0,,CIDIZY,0,48.806749476563574
"STITCHNEST Quirky Animals Printed Jute Cushion Cover, 16x16 Inches, Set of 5",999.0,319.0,4.0,1342.0,,STITCHNEST,0,69.84065661310186
"Yellow Weaves Jute Texture Cushion Covers, 16 X 16 Inches, Beige, Set Of 5(Jute)",749.0,589.0,4.2,2322.0,100+ bought in past month,Yellow,100,73.33120094278598
"PINK PARROT Dupion Silk 150TC Cushion Cover, 16x16 Inch, Multicolour, Set of 5",1299.0,429.0,4.3,4508.0,50+ bought in past month,PINK,50,174.2334735848412
"Amazon Brand – Umi. Multicolor Floral Printed Poly Cotton Cushion Covers, Set of 5 (16 x 16 Inches)",999.0,499.0,4.2,797.0,50+ bought in past month,Amazon,50,37.57969904935997
"CIDIZY Jute Floral Tree Printed Cushion Covers, 16X16 Inch, Multicolour, Set of 5",1399.0,399.0,4.0,4772.0,300+ bought in past month,CIDIZY,300,184.05124469755975
"aRDENMEAD Set Of 2 Decorative Hand Made Throw/Pillow Cushion Covers. Cotton Cushion Cover Set For You Sofa,Living Room (16 X 16 Inches | 40 X 40 Cm, Yellow), 210 TC",999.0,683.0,4.3,334.0,,aRDENMEAD,0,6.29983069098904
"STITCHNEST Poly Cotton 180 TC Cushion Cover, 12 x 12 Inch, Multicolour, 5 Pieces",999.0,379.0,4.3,2064.0,,STITCHNEST,0,91.84548556929099
"AEROHAVEN™ Set of 5 Decorative Hand Made Velvet Throw/Pillow Cushion Covers - CC-44 - (Sea Green, 16 Inch x 16 Inch)",999.0,311.0,4.1,647.0,,AEROHAVEN™,0,49.123303777583466
Clasiko Cotton Cushion Covers Set of 5; 16X16 in; Multicolor Flowers,2295.0,1199.0,4.1,190.0,100+ bought in past month,Clasiko,100,-20.02193210059083
"HOMEMONDE Quilted 16 X 16 Inches Soft Throw Cushion Cover - Pack Of 2 Jaipuri Hand Block Print Cotton Pillow Covers, Pink, 300 TC",999.0,549.0,4.6,220.0,100+ bought in past month,HOMEMONDE,100,19.236910133301976
"Sirhana Decorative Printed Satin Cushion/Throw/Pillow Covers, Multicolor, Set Of 5 Pieces (16X16 Inches, Amber), 250 TC",1999.0,559.0,4.2,220.0,,Sirhana,0,36.04627002390612
"aRDENMEAD Set of 2 Decorative Cottonthrow/Pillow Cushion Covers with Terry Embroidery.Set for Your Sofa,Living Room (16 X 16 Inches | 40 X 40 Cm, Yellow) (Yellow), 210 TC",999.0,683.0,4.4,213.0,50+ bought in past month,aRDENMEAD,50,3.660346761079513
"Trance Home Linen Set Of 5 Premium Cotton 16X16 Inch Cushion Covers Only For Sofa And Diwan|Throw Pillow/Small Cushion Pillow Covers Only (16X16 Inch|40Cmx40Cm,Dori&Damask Blue) Set Of 5,180 TC",1299.0,599.0,4.0,228.0,50+ bought in past month,Trance,50,13.704271486718774
"HOMECROWN Soft Velvet Fur Cushion Covers - 16 X 16 Inch, Set Of 5, White,250 Threadcount, 250 tc",1299.0,679.0,4.2,223.0,100+ bought in past month,HOMECROWN,100,8.629138502256545
"Trance Home Linen Set Of 5 Premium Cotton 16X16 Inch Cushion Covers Only For Sofa And Diwan|Throw Pillow/Small Cushion Pillow Covers Only (16X16 Inch|40Cmx40Cm,Dori&Damask Blue) Set Of 5,180 TC",1299.0,599.0,4.0,228.0,50+ bought in past month,Trance,50,13.704271486718774
"Brizberry® Designer Decorative Premium Poly Cotton Throw Pillow Cushion Covers, Double Side Printing, Set of 5 (16 inch x 16 inch) (Design 51)",1199.0,599.0,4.3,11.0,,Brizberry®,0,8.26865003185025
"FRESH FROM LOOM Jacquard Soft Velvet Cushion Covers | Hypo-Allergenic | Washable | Non-Fade Diwan Sofa Pillow Covers for Home (Size - 16 x16 Inch, Color - Beige) - Set of 5pc",1499.0,568.0,4.2,361.0,,FRESH,0,28.281069610500303
STITCHNEST Floral Teal Printed Poly Cotton Cushion Cover Set of 5 (24 X 24 Inches),1999.0,949.0,4.1,2895.0,,STITCHNEST,0,85.57378032290214
"Brizberry® Designer Decorative Premium Poly Cotton Throw Pillow Cushion Covers, Double Side Printing, Set of 5 (16 inch x 16 inch) (Design 69)",1199.0,599.0,4.3,36.0,,Brizberry®,0,9.088997361401091
"Sirhana Decorative Printed Satin Cushion/Throw/Pillow Covers, Multicolor, Set Of 5 Pieces (16X16 Inches, Amber), 250 TC",1999.0,559.0,4.2,220.0,,Sirhana,0,36.04627002390612
"Yellow Weaves Jute Texture Cushion Covers, 16 X 16 Inches, Multicolour, Set of 5, 250 TC",749.0,589.0,4.2,2322.0,50+ bought in past month,Yellow,50,73.33120094278598
Brick Home Printed Home Decor Canvas Cotton Cushion Covers Set of 5 (16 X 16 Inches) (White),999.0,549.0,3.9,514.0,,Brick,0,19.567214713004056
"BRICK HOME Poly Cotton 200TC Cushion Cover, 16 x16 Inches, Black, Set of 5",999.0,499.0,4.2,2355.0,,BRICK,0,88.7037446269685
"Vinayaka Fab Set Of 2 Velvet Throw Pillow Covers - Soft Decorative Cushion Covers Cases With Gold Leather For Sofa Bedroom Livingroom Car, 16 X 16 Inch (2 Pieces) (Dark Blue Off White/Gold), 250 tc",1999.0,499.0,4.4,16.0,,Vinayaka,0,37.6940234615932
"AEROHAVEN Set of 5 Abstract Decorative Hand Made Jute Throw/Pillow Cushion Covers - Cc11 - (Multicolor, 16 Inch X 16 Inch)",999.0,368.0,4.1,772.0,100+ bought in past month,AEROHAVEN,100,47.82923673657826
"MODERN HOMES Cotton Designer Decorative Throw Pillow Covers/Cushion Covers (Navy Blue, 16X16 Inches) - Set Of 6(1000.0), 1000 tc",999.0,699.0,4.2,2054.0,50+ bought in past month,MODERN,50,59.894118257213485
"STITCHNEST Stripe Multi Printed Cotton Rectangular Cushion Covers, Set of 2 (12 x 18 Inches)",999.0,279.0,4.0,1016.0,50+ bought in past month,STITCHNEST,50,62.929856340151424
haus & kinder Printed & Embroidered Decorative Throw Cushion Cover 16 x 16 inches for Living Room Sofa (Hydrangea),1599.0,799.0,4.3,166.0,,haus,0,3.6541512319699727
"Vendola Multicolor Microfiber Satin 250TC Cushion Pillow Covers, Multicolor, Set of 5 (16X16 Inches, Iris Yellow)",1999.0,459.0,4.1,1262.0,100+ bought in past month,Vendola,100,78.37367183545015
Kaahira Boho Macrame Decorative Cushion Cover 16x16 | Comfy Throw Pillow Cases for Sofa Couch Bed Living Room (Off-White),1289.0,399.0,5.0,1.0,,Kaahira,0,38.267333900553794
"STITCHNEST Unique Cute Elephant Cartoon Blue Printed Canvas Cotton Cushion Covers, Set of 5 (18 x 18 Inches)",999.0,569.0,4.4,609.0,100+ bought in past month,STITCHNEST,100,27.44625583868372
AEROHAVEN Set Of 5 Multi Colored Decorative Hand Made Jute Throw/Pillow Cushion Covers - Cc24 - (16 Inch X 16 Inch),999.0,275.0,4.1,1043.0,100+ bought in past month,AEROHAVEN,100,65.52548149162214
"CIDIZY Jute Tree Floral Printed Cushion Cover, 16 x 16 Inch, Set of 6, Multicolour",1399.0,479.0,3.9,55.0,,CIDIZY,0,20.364055604004974
"Urvaan Cream Velvet Floral Printed Cushion Covers, 16 x 16 Inch, Set of 5, Multicolour",1399.0,399.0,4.6,8.0,,Urvaan,0,35.71184044905038
"Amazon Brand - Umi Velvet Decorative Cushion Cover 16x16 Inch - Set of 2, Soft Solid Square Throw Pillow Covers for Sofa, Living Room or Home Decor - 40x40 cm Blue",999.0,419.0,4.0,428.0,,Amazon,0,30.38243598374158
"Amazon Brand – Umi. Peacock Printed Canvas Cotton Cushion Cover, Set of 5 (16 x 16 Inches)(Yellow)",999.0,489.0,4.1,1013.0,,Amazon,0,44.283135057660836
"Kaahira Set of 2 Soft Touch Boho Home Decor Macrame Cushion Cover | Bohemian Throw Pillow Case for Sofa, Couch Bed, Living Room - (16x16, Off White)",2578.0,679.0,3.8,14.0,50+ bought in past month,Kaahira,50,25.96634155842377
"Amazon Brand - Umi Decorative Velvet Throw Pillow Cover 16X16 Inch (2 Pc) Tassels Fringe Design Pillows For Farmhouse Couch Sofa Bedroom | Blush Velvet Cushion Covers, 1 TC",999.0,539.0,4.2,286.0,50+ bought in past month,Amazon,50,17.025270728948158
HOMEMONDE Throw Cushion Covers Premium Cotton Square Pillow Cover Ikkat Grey Ikkat Print Pillowcases 16x16 Inches - Set of 2,625.0,299.0,4.4,1188.0,,HOMEMONDE,0,63.37265731499014
"Yellow Weaves Cotton Canvas Decorative Cushion Covers, (16 X 16 Inches), Set Of 5, Multicolour, 250 tc",749.0,589.0,4.1,3032.0,100+ bought in past month,Yellow,100,95.29806795691337
AEROHAVEN Set of 5 Cotton Turkish Designer Decorative Throw Pillow/Cushion Covers - 16 x 16 inches,699.0,435.0,3.8,696.0,,AEROHAVEN,0,28.07595929538595
Roseate Velvet Cushion Cover (16x16 Inch) Throw Pillow Covers Gold Line Soft Decorative Square Cushion Covers for Couch/Chair/Bedroom (Maroon/Lion) Pack of 2,699.0,379.0,4.5,89.0,,Roseate,0,22.776046615856927
AEROHAVEN™ Set of 5 Ethnic Hand Made Jute Throw/Pillow Cushion Covers - CC182 - (16 x 16 Inch),699.0,299.0,4.1,165.0,,AEROHAVEN™,0,27.51897172601045
"STITCHNEST Yellow & Grey Floral Printed Poly Cotton Cushion Covers, Set of 5 (16 x 16 Inches)",999.0,469.0,3.8,41.0,,STITCHNEST,0,10.288303901570714
"aRDENMEAD Set Of 2 Decorative Cushion Covers Throw/Pillow Cushion Covers With Embroidery. Cotton Cushion Cover Set For You Sofa,Living Room (16 X 16 Inches | 40 X 40 Cm, White), 210 TC",999.0,683.0,4.4,61.0,,aRDENMEAD,0,-1.3273650025896124
"CIDIZY Decorative Flower Print Cushion Cover, 20 x 20 Inch, Set of 5, Multicolour",1999.0,799.0,4.2,1575.0,,CIDIZY,0,57.78992185920634
"Amazon Brand - Umi Satin Cushion/Throw/Pillow Covers Set of 5 Pieces (16X16 Inches, Turkey)",1999.0,499.0,3.8,103.0,50+ bought in past month,Amazon,50,32.56284929773084
"CIDIZY Maroon Silk Golden Floral Cushion Cover, 16 x 16 Inch, Set of 5",1399.0,399.0,4.4,58.0,50+ bought in past month,CIDIZY,50,34.69054081791897
"Amazon Brand - Umi Satin 250TC Cushion Pillow Covers, Multicolor, Set of 5 (16X16 Inches, Petals)",1999.0,499.0,4.2,135.0,50+ bought in past month,Amazon,50,38.93688246002211
